Source,CH1,CH2
Second,Volt,Volt
-0.10628,2.8512,0.248
-0.10626,2.8512,0.256
-0.10624,2.7648,0.264
-0.10622,2.7648,0.264
-0.1062,2.7648,0.272
-0.10618,2.7216,0.268
-0.10616,2.7216,0.268
-0.10614,2.7216,0.276
-0.10612,2.6352,0.276
-0.1061,2.5488,0.284
-0.10608,2.5488,0.28
-0.10606,2.5488,0.288
-0.10604,2.5488,0.284
-0.10602,2.4624,0.284
-0.106,2.4624,0.288
-0.10598,2.376,0.292
-0.10596,2.376,0.3
-0.10594,2.2896,0.304
-0.10592,2.2896,0.308
-0.1059,2.2896,0.304
-0.10588,2.2896,0.308
-0.10586,2.2032,0.312
-0.10584,2.2032,0.308
-0.10582,2.16,0.316
-0.1058,2.16,0.324
-0.10578,2.16,0.32
-0.10576,2.0736,0.336
-0.10574,1.9872,0.32
-0.10572,2.0736,0.32
-0.1056999875,2.0736,0.328
-0.10568,1.9008,0.328
-0.10566,1.9008,0.328
-0.10564,1.8144,0.332
-0.10562,1.9008,0.332
-0.1056,1.8144,0.332
-0.10558,1.8144,0.332
-0.10556,1.8144,0.332
-0.10554,1.728,0.34
-0.10552,1.728,0.34
-0.1055,1.6848,0.344
-0.10548,1.5984,0.348
-0.10546,1.5984,0.344
-0.10544,1.5984,0.348
-0.10542,1.512,0.348
